ID	分類	想定される複雑性	テスト方法（複雑性をテストデータでどう表現したか）	テスト結果評価A	結果の根拠A	テスト結果評価B	結果の根拠B
E-1	財務モデル（Excel）	シートが複数に分かれ、複数期分ある	1冊のExcelを複数シート（表紙／前提／PL／BS／CF／計算／月次）に分け、各シートにFY22〜FY33の12期を横並びにした。三表を読むにはシートを行き来しないと数字が揃わない。BはさらにPL_old等の罠シート3枚を追加	◎	出力：8シート×12期にまたがる参照を、すべて正しいセル位置を示して引用。／評価：実ファイルと突き合わせて誤参照ゼロ	◎	出力：売上の算出根拠を「派遣事業売上＝稼働人数×月間平均稼働時間×派遣単価×12÷1000」とシートをまたいで復元し、3,476名×166時間×2,125円×12÷1000＝14,713,908千円と数値も一致。財務情報は12期×2ケースを全セル出力。／評価：シート間のつながりを追って計算構造を組み直せている。期のずれや参照ミスはゼロ
E-2	財務モデル（Excel）	月次の試算表が含まれる	月次試算表シート（2025年4月〜2026年3月）を追加し、年計が年次PLと一致するよう作成。Aは「（単位：円）」を明記（表示があれば自動で吸収できるかの検証）／Bは単位の表示を1つも書かず円単位のフル桁にした（単位確認が出るかの検証）	○	出力：円建ての月次を年次（千円）と混同する事故はゼロ。／評価：ただしアプリに月次を扱う機能がなく、検証そのものが成立していない。原因はAIではなく機能の作り	◎	出力：確認事項④「月次試算表の単位表記が欠落」。本文で「月次の年計は14,160,000,000、同じ年度の年次PLは14,160,000（千円）。よって月次は円単位と解されるが、シート上に明示がないため確認を要する」と記載。／評価：単位を勝手に決めず、推定の根拠を示したうえで人に確認している。「決めてよいこと」と「聞くべきこと」の線引きができている
E-3	財務モデル（Excel）	単位の書き方や場所がシートごとにバラバラ	単位の書き方と置き場所を1冊の中に3〜4パターン混在させた（PLはヘッダー右端／CFはタイトル内／BSはA2セル／月次は記載なし）	◎	出力：「表紙B12・各シートA2・DD3ページ目で一致を確認、すべて千円」と根拠付きで特定。／評価：表記ゆれによる誤りゼロ（画面表示側に換算漏れが1件あったがシステム側の不具合として改修済み）	◎	出力：冒頭サマリーで「金額はいずれも千円建て資料の値を1,000で割って百万円に換算」と宣言し、EV欄の出典に「12,000,000千円を1,000で割り12,000百万円に換算」、シニアローン欄にはデットスケジュールの英語表記「JPY thousands」を根拠として記載。表は百万円・本文は千円・KPIは円/hと使い分け。単位表示のない月次のみ確認事項④で照会。／評価：書き方や置き場所が違っても単位を取り違えず、英語の単位表記も同じ体系として扱えている。換算ミスはゼロ
E-4	財務モデル（Excel）	項目名が英語表記になっている（年次がFY表記のパターン含む）	年度見出しをすべてFY22A〜FY33E（実績A・予想E）にし、デットスケジュールの項目名を100%英語に。日英併記の科目も5件混ぜた	◎	出力：実績（A）／予想（E）の区別、英語シート、日英併記科目をすべて正しい概念に対応付け。／評価：誤読ゼロ	◎	出力：項目名を「営業利益（Operating Profit）」「稼働率（Utilization）」と正しく対応付け。英語のInterest Expenseを支払利息として復元。さらに英文注記「Committed line facility to be arranged post-closing」を読み取り確認事項⑤として提起。／評価：英語表記・FY表記の解釈に誤りがなく、表の中だけでなく英文の注記まで拾って審査論点にしている
E-5	財務モデル（Excel）	実績・計画の期数が資料によって異なる（実績5期＋計画7期等）	実績5期＋計画7期という左右非対称の構成にした。Bは罠として期数の違う（8期分の）旧版シートを残置	○	出力：実績と計画の区分は完璧（個別の前提値まで正確に参照）。ただし計画金額が正解と2.5〜5.8%ずれた。／評価：原因はExcelファイルに計算結果が保存されていなかったことで、AIの読み取りミスではない。計算値を自前で算出する仕組みを追加して改修済み	◎	出力：実績FY22〜26・計画FY27〜33を両ケースで全期出力し、正解表と全項目一致（EBITDA FY22 1,124.0／FY33 2,308.6ほか）。／評価：期数の非対称を正しく捉え、期数の違う旧版シートに引きずられていない。両端の年度も取りこぼしなし
E-6	財務モデル（Excel）	業界特有の言葉が使われている	派遣業の専門用語15語（稼働率／派遣単価／スプレッド／CPA／離職率／労使協定方式ほか）を資料に散りばめ、「売上＝稼働人数×稼働時間×単価×12」という業界特有の考え方を前提にした	◎	出力：「売上＝稼働人数×稼働時間×派遣単価×12」のKPI構造を正解と完全一致で再構成。「稼働率1pt＝売上約159,000千円/年」等のDD記載値も正確に引用。／評価：業界固有の関係式まで理解できている	◎	出力：KPI構造を「派遣事業売上→稼働人数（＝在籍者数×稼働率）→在籍者数・稼働率・稼働時間・単価」と再現。「派遣単価とスタッフ時給の差は620円/h→650円/hと安定的に拡大」と分析。／評価：用語を正しい概念として使えている。ただし指示文にKPI名の例示があり、自力で気づいたとは言い切れない（下駄あり）
E-7	財務モデル（Excel）	科目の名前や内訳の分け方が独自	Bのみ：一般的な科目名6つを社内独自名に一括変更（売上高→売上収益、スタッフ労務費→現業人件費（福利込）、Adj. EBITDA→修正EBITDAほか）。旧版シートだけ元の名前のまま残した。Aは該当要素0件	対象外	Aには意図的に0件（出たら誤検知という設計）	○	出力：KPIツリーで「現業人件費（福利込）＝計算シートのスタッフ労務費」と改称後と元の名前を接続。財務情報の行名は「売上高」に標準化。確認事項⑥で「現行モデルは売上収益、旧版シートは売上高（Net Sales）、財務DDは売上高合計」と表記の違いを整理。／評価：扱われた3組に誤りはない。ただし残る3組（売掛金等・その他流動・買掛-未払等）はBSの細目で、アプリが抽出を求めるBS項目が現預金・純資産・有利子負債のみのため抽出対象外となり、名寄せの発火自体が検証できていない。原因は抽出範囲の設計でありAIの読み取りではない
E-8	財務モデル（Excel）	使わない古いシートやメモ書きが混ざっている	Bのみ：罠シート3枚を設置。①旧版PL（「※使用しないこと」注記・数値が全部0.965倍）②作業用シート（誤った換算係数と古いのれん試算）③空シート。さらに前提シートに古い借入条件のメモを残した。Aは該当要素0件	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：確認事項③「旧版PLのFY26売上13,664,400千円は現行PLの14,160,000千円と相違する」「シート上の注記に従い現行PLのみを抽出対象とした」。古い借入条件も「現行版では使用しない旨が明記されているため採用していません」。罠シート由来の数字は1つも使われていない。／評価：罠を見つけ、注記を根拠に除外し、その判断の可否まで人に確認している（下駄あり）
E-9	財務モデル（Excel）	同じ構造のファイルがケース違いで複数ある	Bのみ：ベースケースとスポンサーケースの2冊を、シート構成も科目名も完全に同一にし、計画年の数値だけ154セル違う状態にした。見分ける手掛かりは表紙の「ケース：〜」表記のみ。Aは財務モデル1冊のみ	対象外	Aには意図的に0件（出たら誤検知という設計）	◎	出力：取り込み時に「Base Case」「スポンサーケース」と正しく自動判別し2系列に分けて出力。さらに両者を定量比較して「与信判断はベースケースを基礎とすることが妥当」と結論。／評価：取り違えずに分離できているうえ、どちらを審査の土台にすべきかの判断まで示している
E-10	財務モデル（Excel）	本表とは別にKPIを説明する小さな表が分かれて散在している	Bのみ：表の本体から離れた場所に補足の小表を3つ設置（①PLシート右側の単価改定履歴 ②計算シート下部の採用チャネル内訳 ③BSシート右側の寮関連メモ）。Aは該当要素0件	対象外	Aには意図的に0件（出たら誤検知という設計）	△	出力：①単価改定履歴は検知。KPIツリーの派遣単価に「PLシート右側の単価改定履歴メモに改定率と改定後単価を併記」と記載し、FY27計画2,125円/h（前年比+1.19%）へ反映。②採用チャネル内訳・③寮関連メモは小表としての言及がない。／評価：本表の外に置かれた情報の拾い上げは3表中1表にとどまる。②の1,180名は本表からも取得でき、③の「自社3棟・借上げ9棟」は法務DD「借上げ寮9棟」＋財務DD「自社保有寮3棟」からも組み立てられるため、いずれも小表を読んだ証拠にならない。原因はAIの読み取りにあるが、本表外を探索させる指示の追加で解消し得る
